epoch,critic_loss,gen_loss
0,-7.376947402954102,4.199963092803955
1,-2.587008476257324,-7.100103378295898
2,-2.279228925704956,-9.16882610321045
3,-2.0909292697906494,-12.669598579406738
4,-2.339143991470337,-14.514556884765625
5,-2.452293634414673,-17.316679000854492
6,-2.2805516719818115,-19.711231231689453
7,-1.883833408355713,-25.22225570678711
8,-1.7758420705795288,-30.037572860717773
9,-1.676221489906311,-32.207435607910156
10,-1.5265121459960938,-34.0544319152832
11,-1.363010048866272,-36.62905502319336
12,-1.1963529586791992,-37.981422424316406
13,-1.0595542192459106,-41.00012969970703
14,-0.9284881949424744,-45.572608947753906
15,-0.876359224319458,-53.917633056640625
